,timestamp,location,track,week,pacing,rating
1,6/30/2016 22:50:08,,,,3,6
2,7/1/2016 9:34:16,,,,4,8
3,7/1/2016 10:42:17,,,,3,8
4,7/1/2016 11:25:53,,,,3,8
5,7/1/2016 11:57:11,,,,3,10
6,7/1/2016 11:58:37,,,,3,10
0,7/15/2016 13:30:19,,Apps,,1,4
1,7/15/2016 13:31:54,,Apps,,3,6
2,7/15/2016 13:35:36,,Apps,,4,8
3,7/15/2016 13:58:34,,Apps,,3,8
4,7/15/2016 14:01:42,,Apps,,3,10
5,7/15/2016 14:09:14,,Apps,,3,8
6,7/15/2016 14:10:40,,Apps,,3,8
7,7/15/2016 14:15:40,,Apps,,3,8
8,7/15/2016 14:26:18,,Apps,,2,8
9,7/15/2016 15:54:39,,Apps,,4,8
10,7/15/2016 15:54:51,,Apps,,3,6
11,7/15/2016 15:55:54,,Apps,,4,8
12,7/15/2016 15:55:56,,Apps,,3,10
13,7/15/2016 15:56:10,,Apps,,3,8
14,7/15/2016 15:56:18,,Apps,,3,10
15,7/15/2016 15:57:37,,Apps,,4,6
16,7/15/2016 15:57:50,,Apps,,3,8
17,7/15/2016 15:58:36,,Apps,,4,8
18,7/15/2016 15:58:47,,Apps,,4,8
19,7/15/2016 16:03:01,,Apps,,4,8
20,7/15/2016 16:06:23,,Apps,,3,10
21,7/15/2016 16:21:10,,Apps,,4,10
22,7/15/2016 16:23:07,,Apps,,3,10
23,7/15/2016 16:55:20,,Apps,,4,8
24,7/15/2016 17:11:41,,Apps,,1,10
25,7/17/2016 9:52:10,,Apps,,3,10
26,7/18/2016 10:35:56,,Apps,,3,8
27,7/15/2016 13:56:01,,Games,,2,10
28,7/15/2016 13:56:03,,Games,,3,10
29,7/15/2016 13:58:40,,Games,,3,8
30,7/15/2016 14:00:09,,Games,,4,8
31,7/15/2016 14:00:41,,Games,,4,8
32,7/15/2016 15:51:03,,Games,,5,10
33,7/15/2016 15:57:04,,Games,,3,10
34,7/15/2016 15:58:21,,Games,,3,6
35,7/15/2016 14:03:03,,Intro,,4,10
0,6/24/2016 13:32:01,,Games,,4,4
1,6/24/2016 13:48:09,,Apps,,4,6
2,6/24/2016 13:49:23,,Apps,,3,6
3,6/24/2016 13:53:25,,Apps,,5,6
4,6/24/2016 13:55:19,,Apps,,3,6
5,6/24/2016 13:41:53,,Games,,3,6
6,6/24/2016 13:46:23,,Apps,,4,8
7,6/24/2016 13:46:42,,Apps,,3,8
8,6/24/2016 13:47:24,,Apps,,3,8
9,6/24/2016 13:47:25,,Apps,,4,8
10,6/24/2016 13:47:36,,Apps,,3,8
11,6/24/2016 13:48:00,,Apps,,4,8
12,6/24/2016 13:48:29,,Apps,,4,8
13,6/24/2016 13:48:48,,Apps,,3,8
14,6/24/2016 13:49:35,,Apps,,4,8
15,6/24/2016 13:50:37,,Apps,,3,8
16,6/24/2016 13:51:11,,Apps,,4,8
17,6/24/2016 13:51:13,,Apps,,4,8
18,6/24/2016 13:52:06,,Apps,,3,8
19,6/24/2016 13:52:21,,Apps,,3,8
20,6/24/2016 13:52:50,,Apps,,5,8
21,6/24/2016 13:53:03,,Apps,,3,8
22,6/24/2016 13:55:00,,Apps,,3,8
23,6/24/2016 13:59:24,,Apps,,3,8
24,6/24/2016 13:28:35,,Games,,4,8
25,6/24/2016 13:31:45,,Games,,4,8
26,6/24/2016 13:32:49,,Games,,4,8
27,6/24/2016 13:34:57,,Games,,3,8
28,6/24/2016 13:39:47,,Games,,4,8
29,6/24/2016 13:45:39,,Games,,3,8
30,6/24/2016 14:10:46,,Games,,4,8
31,6/24/2016 14:12:14,,Games,,3,8
32,6/24/2016 14:12:35,,Games,,4,8
33,6/24/2016 13:44:44,,Intro,,4,8
34,6/24/2016 13:45:54,,Intro,,3,8
35,6/24/2016 13:49:54,,Intro,,4,8
36,6/24/2016 13:50:04,,Intro,,3,8
37,6/24/2016 13:50:19,,Intro,,4,8
38,6/24/2016 13:51:46,,Intro,,3,8
39,6/24/2016 13:53:22,,Intro,,3,8
40,6/24/2016 13:55:06,,Intro,,3,8
41,6/24/2016 13:47:09,,Apps,,3,10
42,6/24/2016 13:47:20,,Apps,,3,10
43,6/24/2016 13:47:25,,Apps,,3,10
44,6/24/2016 13:49:23,,Apps,,3,10
45,6/24/2016 13:50:25,,Apps,,3,10
46,6/24/2016 13:50:34,,Apps,,3,10
47,6/24/2016 13:50:54,,Apps,,4,10
48,6/24/2016 13:51:20,,Apps,,4,10
49,6/24/2016 13:53:34,,Apps,,3,10
50,6/24/2016 13:54:13,,Apps,,4,10
51,6/24/2016 13:54:38,,Apps,,4,10
52,6/24/2016 13:30:55,,Games,,4,10
53,6/24/2016 13:33:00,,Games,,2,10
54,6/24/2016 13:34:13,,Games,,3,10
55,6/24/2016 14:05:25,,Games,,4,10
56,6/24/2016 13:44:05,,Intro,,3,10
